x,y,z
-2.4130000000000003,-9.308,0.032
-1.149,-9.768,0.295
-1.149,-9.768,0.295
-2.336,-8.657,2.888
0.0,-10.228,3.5410000000000004
1.4169999999999998,-7.546,0.013
-1.57,-8.274,3.6010000000000004
-0.8809999999999999,-8.887,0.552
-0.8809999999999999,-8.887,0.552
-1.225,-8.772,0.736
-1.225,-8.772,0.736
-0.114,-8.925,0.208
-0.459,-8.466000000000001,4.413
-0.114,-8.044,4.181
-0.612,-8.542,2.8560000000000003
-0.612,-8.504,2.992
-1.915,-7.24,3.282
-1.915,-7.24,3.282
-1.877,-7.0870000000000015,5.901
1.8,-5.8610000000000015,6.435
-0.574,-7.737999999999999,7.274
-0.574,-7.737999999999999,7.274
-1.5319999999999998,-10.228,2.592
-2.336,-8.887,0.036000000000000004
-2.336,-8.887,0.036000000000000004
-2.4130000000000003,-9.232,0.073
-2.4130000000000003,-9.232,0.073
-2.604,-9.194,0.101
-2.604,-9.194,0.101
-3.945,-4.213,8.219
-1.5319999999999998,-2.4130000000000003,7.769
1.608,-0.536,9.609
1.8,-0.6509999999999999,9.653
1.072,-0.919,9.711
1.877,-1.187,9.651
-1.072,-8.849,2.14
-3.064,-9.462,1.4240000000000002
-2.719,-9.194,0.027000000000000003
-3.102,-9.423,0.057
-2.873,-9.347,0.053
-1.072,-8.964,0.07
-2.336,-9.232,0.083
-2.949,-9.079,0.08800000000000001
-2.949,-9.079,0.08800000000000001
-3.102,-9.155,0.034
-3.256,-9.117,0.024
-3.332,-9.194,0.051
-3.332,-9.194,0.051
-3.102,-9.117,0.067
-3.217,-9.155,0.081
-2.528,-9.577,0.233
-2.528,-9.577,0.233
-2.375,-9.423,0.103
-3.486,-8.542,0.297
-2.26,-9.079,0.256
-1.992,-9.079,0.131
-2.949,-8.925,0.067
-2.758,-9.921,0.051
-2.758,-9.921,0.051
-2.336,-9.079,0.222
-2.221,-8.925,0.219
-2.4130000000000003,-8.542,0.973
-2.4130000000000003,-8.542,0.973
-1.992,-8.504,1.381
3.869,-8.274,3.332
3.869,-8.274,3.332
0.8809999999999999,-8.236,5.659
0.957,-8.198,5.615
-0.919,-6.359,6.104
-0.919,-6.359,6.104
-0.268,-6.665,6.682
0.957,-6.933,6.999
0.957,-6.933,6.999
-0.459,-7.47,6.522
0.919,-7.776,6.417999999999998
1.8,-7.278,6.077000000000001
2.911,-7.585,5.814
1.723,-7.546,5.818
0.8809999999999999,-8.083,5.513
-3.869,-8.581,0.076
-3.639,-9.117,0.159
0.383,-9.308,0.297
-0.306,-9.385,0.25
-3.907,-8.849,0.041
-3.907,-8.849,0.041
-2.26,-9.232,0.058
-2.604,-9.079,0.081
-2.873,-8.044,2.457
-2.873,-8.044,2.457
-1.608,-8.81,2.307
-0.268,-9.04,4.589
-0.268,-9.04,4.589
-1.6469999999999998,-8.849,0.14800000000000002
-1.6469999999999998,-8.849,0.14800000000000002
-2.375,-8.006,0.113
-2.834,-8.619,0.029
-2.719,-8.427,0.833
-2.719,-8.427,0.833
-2.681,-8.734,1.365
-2.375,-8.504,1.416
-2.375,-8.504,1.416
-2.068,-8.849,0.847
-2.068,-8.849,0.847
-0.306,-9.577,0.449
-0.306,-9.577,0.449
0.0,-9.577,0.241
0.0,-9.577,0.241
1.034,-7.431,6.164
1.992,-6.397,6.824
3.179,-3.409,8.776
2.298,-3.179,8.846
0.804,-4.75,8.732999999999999
0.804,-4.75,8.732999999999999
-0.229,-5.899,7.16
-0.383,-6.435,7.47
